/,,,,,,,,,,,,,,,,,,,,,
Subcatchment,PP,RB1,RB1_PP,RB2,RB2_PP,GR100,GR100_PP,GR100_RB1,GR100_RB2,GR75,GR75_PP,GR75_RB1,GR75_RB2,GR50,GR50_PP,GR50_RB1,GR50_RB2,GR25,GR25_PP,GR25_RB1,GR25_RB2
1,22,19,32,19,32,44,54,44,44,34,47,37,37,24,40,31,31,13,31,25,25
2,28,15,35,16,35,35,56,35,35,27,50,30,30,19,42,25,25,9,35,20,20
3,27,22,35,22,35,50,59,50,50,39,51,43,43,27,44,35,35,15,35,28,28
4,27,33,45,33,45,68,74,68,68,54,65,57,57,38,54,49,49,20,42,40,40
5,8,36,44,36,44,70,78,70,70,56,64,60,60,39,41,50,50,21,26,42,42
6,5,14,15,14,15,47,49,47,47,36,37,38,39,25,27,30,30,13,15,23,23
7,4,11,13,11,13,39,41,39,39,29,32,32,32,19,23,24,24,9,14,18,18
8,7,17,19,17,19,59,62,59,59,45,49,48,48,30,35,36,36,15,21,25,25
9,4,5,8,8,10,30,33,30,30,22,24,23,24,15,17,18,19,8,11,12,14
10,5,13,14,13,14,50,53,50,50,38,41,40,40,26,29,30,30,14,17,22,22
11,3,14,17,14,17,56,58,56,56,43,46,45,45,29,30,34,34,16,16,24,24
12,2,13,15,13,15,52,54,52,52,39,39,41,41,27,28,31,32,14,15,22,22
/,,,,,,,,,,,,,,,,,,,,,
Subcatchment,PP,RB1,RB1_PP,RB2,RB2_PP,GR100,GR100_PP,GR100_RB1,GR100_RB2,GR75,GR75_PP,GR75_RB1,GR75_RB2,GR50,GR50_PP,GR50_RB1,GR50_RB2,GR25,GR25_PP,GR25_RB1,GR25_RB2
1,16,8,24,16,25,46,48,46,46,35,41,38,39,24,34,31,31,13,25,21,25
2,18,12,25,16,25,40,46,40,40,31,39,33,33,21,33,27,27,11,26,21,21
3,18,15,26,20,26,52,69,52,52,40,44,44,44,28,36,36,36,15,28,28,28
4,16,16,32,22,33,68,84,68,68,54,55,58,58,38,44,48,48,20,31,36,40
5,12,18,31,26,37,75,86,75,75,60,61,64,64,43,47,53,53,23,31,41,44
6,7,12,18,14,18,52,54,52,52,40,43,42,42,28,32,32,32,14,20,23,23
7,8,10,16,11,16,44,47,44,44,34,38,35,35,23,28,27,27,12,18,19,19
8,8,13,19,17,20,62,63,62,62,48,50,50,50,33,37,39,39,17,23,27,27
9,9,6,13,9,15,33,37,33,33,25,31,26,27,17,24,19,21,9,17,13,15
10,7,11,16,12,16,54,56,54,54,42,45,43,43,28,32,33,33,15,20,22,22
11,6,12,16,14,16,62,63,62,62,48,50,50,50,33,36,38,38,17,21,25,25
12,6,12,15,13,15,56,57,56,56,43,45,45,45,30,33,34,34,15,19,23,23
/,,,,,,,,,,,,,,,,,,,,,
Subcatchment,PP,RB1,RB1_PP,RB2,RB2_PP,GR100,GR100_PP,GR100_RB1,GR100_RB2,GR75,GR75_PP,GR75_RB1,GR75_RB2,GR50,GR50_PP,GR50_RB1,GR50_RB2,GR25,GR25_PP,GR25_RB1,GR25_RB2
1,15,4,20,10,24,47,48,47,47,36,41,39,39,25,33,30,32,13,24,18,24
2,16,6,22,14,23,42,57,42,42,32,36,35,35,22,30,28,28,12,23,18,22
3,15,10,23,13,23,53,68,53,53,42,56,45,45,29,33,37,37,15,25,24,28
4,17,11,27,15,30,69,85,69,69,55,56,59,59,39,45,49,49,21,32,31,35
5,9,8,19,19,25,77,85,77,77,62,70,66,66,44,53,54,54,24,28,35,41
6,5,8,12,14,19,54,58,54,54,42,46,44,44,29,33,34,34,15,18,23,24
7,4,6,11,11,12,45,49,45,45,35,39,37,37,24,25,28,28,12,15,19,20
8,4,7,12,15,18,63,66,63,63,49,52,51,51,34,37,39,39,17,19,26,28
9,6,4,9,9,11,34,40,34,34,26,27,27,28,18,20,20,21,9,14,13,15
10,3,6,10,12,14,55,57,55,55,42,45,44,44,29,32,33,33,15,17,22,23
11,3,9,11,14,17,64,67,64,64,50,53,51,52,35,37,39,39,18,19,25,26
12,4,8,11,13,16,58,61,58,58,45,48,47,47,31,34,35,35,16,18,24,24